gaia_source_id,sdssj_name_green
1564434003547661952,130249.33+553931.7
3941701567275657344,130308.04+201602.1
1522568758290319872,130320.91+365131.8
3734261514531000064,130323.99+092543.6
1460329566867386752,130335.84+262213.0
3930100718874195456,130417.88+140324.9
3736252352131711872,130507.50+112807.2
1524417488309802496,130528.21+405645.8
1523526540293707136,130545.35+383522.7
3936167583518100480,130706.03+144834.6
3936286399493895808,130734.80+153936.9
1564011554861071360,130750.19+540625.7
3942914466039968384,130826.47+194959.4
3686119294829278208,130854.92-002742.3
1523199706166615296,131016.35+391727.1
3732751988145000832,131026.35+094700.3
1523291274868754688,131044.25+392213.0
3943904675044754560,131227.72+221435.0
1554363752643577856,131255.11+472332.8
1467017548204833536,131300.37+334133.0
3939954340219001984,131305.60+194410.3
3744077851264030720,131504.57+145750.8
1525757896064160384,131509.87+412527.6
3743864962620961536,131539.91+143353.9
3736554820908645760,131639.65+121529.2
3717298352217243904,131841.09+055427.4
1551367201204751360,131916.36+464832.0
3715522812736215936,131921.25+025218.9
1556620392885132672,132000.22+503525.6
1447543655384319104,132140.03+255630.8
3745963273188235776,132147.54+162142.9
3716533641879991168,132307.04+052048.0
3716478460140103296,132309.75+050647.7
3939404996722577408,132402.99+195114.4
3743503287719574528,132426.42+145023.0
